Country,Category,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Austria,Non-metallic minerals,67045970,73330194,81897947,84097814,87234062,80730554,83861870,85447077,85416407,86182239,85173009,78016505,79435685,78328141,79647770,74610391,82948206,85100735,87479638,84590566,85550171,94793610,102512795,102095166,112805101,108183048,107354603,107777422,112024487,111072990,106987530,103181740,104029917,108226931,111487857,110757063,114406675,113995597,116846854,101552171,94726863,98187949,95569435,91325631,88269950,85638517,91374472,83959228,90048947,89019583,88315237,99251650,101635984,106332671,110271598
Azerbaijan,Biomass,,,,,,,,,,,,,,,,,,,,,,,14753230,14942190,14432203,12562389,13225865,14745765,13694886,16310082,25262811,27112546,19194313,19512319,20739888,20515796,21874991,22310365,23165342,21977823,22981914,28206945,28970881,33758584,31493705,37105868,34284669,32151311,32455438,35487402,32918444,32298148,30866684,28919538,29054559
Azerbaijan,Fossil fuels,,,,,,,,,,,,,,,,,,,,,,,1418071,2073577,3830051,5627011,7365692,8195891,9382144,11381233,7531283,9924295,7730551,8955501,8989936,8402205,8940108,8450296,7499847,11092483,10555699,10003955,10679439,13408133,13126371,11372193,10322284,12032309,10027979,12417364,13313906,8922985,9404197,9293379,9333242
Azerbaijan,Metal ores,,,,,,,,,,,,,,,,,,,,,,,544197,1470603,1376706,1272049,676975,2558680,872127,771652,1778373,1319799,837604,1456188,1544071,973187,855931,886120,849659,1088170,1921646,1913772,2294009,2647316,2345767,2905066,2606020,2915868,3822771,7596197,2534116,1973174,2189313,2189365,2243335
Azerbaijan,Non-metallic minerals,,,,,,,,,,,,,,,,,,,,,,,3749619,5378482,5202937,4669769,4242576,6576261,6196271,5507553,7216001,7990950,11123401,15137453,21304300,21502043,24431442,25395730,25962293,26994685,27877704,23833108,30430540,38334588,36785195,27277344,21780583,24446813,20321750,27215690,36124314,33811677,33945036,31368798,32978587
Bahamas,Biomass,961507,1010280,1006286,1024863,1021153,1068513,1075773,1077883,1078762,1082133,1049294,1112312,1131184,1040235,1138887,1165498,1137689,1112060,1055549,1124181,982304,1224502,1188276,1176520,1098965,1308726,1160486,1626709,1939574,1408069,2025982,2177638,1725090,2013323,1784407,1621307,1546905,1662894,1591441,1819710,1605438,1504708,1314869,1435955,1360870,1175070,1404531,1381392,1304582,1244927,543960,668854,684579,692504,695830
Bahamas,Fossil fuels,931780,948811,979053,1036256,1036568,983506,1024735,1047013,1062186,1130943,1127538,1119928,1139505,1150583,1194676,1213738,1231474,1231590,1266368,1293329,1361937,1082242,1115885,1225746,1345295,1671588,1695180,2314739,2945616,2249428,2364791,1730691,1673574,1665387,1442891,1707906,1981872,1779984,1853131,1728428,1806001,2541525,2137530,1927675,1782794,1387220,1972194,2758831,2976114,2272253,2186411,3061722,3124319,3203942,3209797
Bahamas,Metal ores,241873,239977,250508,262709,268709,256176,269900,261930,262659,275390,267106,266440,258442,263643,290869,307110,317756,333068,351692,369489,393448,324589,451679,415268,506911,621448,591147,788308,906667,908478,908689,850400,763306,797763,757833,961887,1329373,1233953,1067343,1019145,1043930,1195896,1094178,883623,894329,714024,863746,866753,859321,772701,720543,927362,943564,964409,988430
Bahamas,Non-metallic minerals,303155,316664,321769,348408,355658,336303,347014,367689,391132,393912,396240,369541,361898,388666,405483,432920,447187,469936,485387,492659,490689,417053,504568,591030,822566,1021616,899907,1327025,1934777,2067194,2075998,1588309,1463060,1387938,1305705,1442166,1757468,1509814,1247293,1194148,1338249,1713560,1360008,1171740,1498314,1262990,1854069,1601624,3512386,3208814,1908977,1915718,1988458,2029158,2082873
Bahrain,Biomass,1654275,1678799,1718400,1783871,1899995,1921054,2056133,2124964,2214595,2236166,2358966,2453154,2511242,2456410,2534873,2593901,2529815,2551006,2580553,2638583,2275602,3412455,2956983,4132178,2951510,3260494,3666230,3521032,3959575,3540069,3983628,3875163,4729196,4175293,5759404,5505505,5935724,5941508,7383278,5531054,5915296,8214605,7351531,10527680,10045661,9939187,9706396,9401722,9069729,9609175,6550801,6511451,6576383,6591076,6663768
